Ibge;Existe serviço de dragagem ou desassoreamento dos cursos d'água naturais perenes - IE041;Data
310020;[N] Não;31/12/2015
310030;;31/12/2015
310050;;31/12/2015
310060;[S] Sim;31/12/2015
310070;;31/12/2015
310080;;31/12/2015
310110;[S] Sim;31/12/2015
310120;;31/12/2015
310140;;31/12/2015
310150;;31/12/2015
310170;;31/12/2015
310180;;31/12/2015
310190;[S] Sim;31/12/2015
310220;[S] Sim;31/12/2015
310240;[N] Não;31/12/2015
310280;[N] Não;31/12/2015
310320;;31/12/2015
310330;[N] Não;31/12/2015
310340;;31/12/2015
310360;[S] Sim;31/12/2015
310370;;31/12/2015
310400;;31/12/2015
310410;;31/12/2015
310420;[N] Não;31/12/2015
310440;;31/12/2015
310460;;31/12/2015
310490;;31/12/2015
310500;;31/12/2015
310520;[S] Sim;31/12/2015
310530;;31/12/2015
310540;[S] Sim;31/12/2015
310560;[N] Não;31/12/2015
310590;[S] Sim;31/12/2015
310600;;31/12/2015
310620;[S] Sim;31/12/2015
310630;;31/12/2015
310640;[S] Sim;31/12/2015
310670;[S] Sim;31/12/2015
310690;[N] Não;31/12/2015
310730;;31/12/2015
310740;[S] Sim;31/12/2015
310750;;31/12/2015
310770;;31/12/2015
310790;;31/12/2015
310800;[N] Não;31/12/2015
310810;;31/12/2015
310820;;31/12/2015
310825;;31/12/2015
310840;[S] Sim;31/12/2015
310850;;31/12/2015
310855;;31/12/2015
310870;;31/12/2015
310890;;31/12/2015
310910;[N] Não;31/12/2015
310940;[N] Não;31/12/2015
310945;;31/12/2015
310960;[N] Não;31/12/2015
310970;;31/12/2015
311000;;31/12/2015
311020;[N] Não;31/12/2015
311050;[S] Sim;31/12/2015
311060;;31/12/2015
311090;;31/12/2015
311100;;31/12/2015
311110;;31/12/2015
311120;[N] Não;31/12/2015
311140;[N] Não;31/12/2015
311150;[N] Não;31/12/2015
311170;;31/12/2015
311210;[N] Não;31/12/2015
311230;;31/12/2015
311250;;31/12/2015
311265;;31/12/2015
311300;;31/12/2015
311330;[N] Não;31/12/2015
311360;;31/12/2015
311380;;31/12/2015
311420;[S] Sim;31/12/2015
311460;;31/12/2015
311470;;31/12/2015
311480;;31/12/2015
311510;[N] Não;31/12/2015
311520;[S] Sim;31/12/2015
311530;[S] Sim;31/12/2015
311535;[N] Não;31/12/2015
311540;;31/12/2015
311550;;31/12/2015
311560;[N] Não;31/12/2015
311600;;31/12/2015
311620;;31/12/2015
311630;[N] Não;31/12/2015
311650;;31/12/2015
311660;[S] Sim;31/12/2015
311670;;31/12/2015
311690;;31/12/2015
311700;;31/12/2015
311710;[S] Sim;31/12/2015
311720;[N] Não;31/12/2015
311730;;31/12/2015
311760;;31/12/2015
311770;[N] Não;31/12/2015
311780;[S] Sim;31/12/2015
311783;;31/12/2015
311800;[N] Não;31/12/2015
311810;[S] Sim;31/12/2015
311820;;31/12/2015
311830;;31/12/2015
311850;[N] Não;31/12/2015
311860;[N] Não;31/12/2015
311870;;31/12/2015
311880;;31/12/2015
311900;;31/12/2015
311910;;31/12/2015
311930;;31/12/2015
311940;[S] Sim;31/12/2015
311970;;31/12/2015
311980;[N] Não;31/12/2015
311995;[S] Sim;31/12/2015
312020;;31/12/2015
312050;;31/12/2015
312070;;31/12/2015
312080;;31/12/2015
312090;[N] Não;31/12/2015
312110;[N] Não;31/12/2015
312120;;31/12/2015
312125;;31/12/2015
312130;;31/12/2015
312150;[N] Não;31/12/2015
312190;[N] Não;31/12/2015
312200;[N] Não;31/12/2015
312210;;31/12/2015
312220;;31/12/2015
312230;[N] Não;31/12/2015
312235;;31/12/2015
312240;[N] Não;31/12/2015
312260;[N] Não;31/12/2015
312270;[N] Não;31/12/2015
312280;;31/12/2015
312290;[N] Não;31/12/2015
312300;[N] Não;31/12/2015
312320;[N] Não;31/12/2015
312352;[N] Não;31/12/2015
312360;[N] Não;31/12/2015
312370;[S] Sim;31/12/2015
312380;;31/12/2015
312420;[N] Não;31/12/2015
312470;;31/12/2015
312490;;31/12/2015
312510;;31/12/2015
312540;;31/12/2015
312580;[S] Sim;31/12/2015
312590;[N] Não;31/12/2015
312600;;31/12/2015
312610;[S] Sim;31/12/2015
312630;;31/12/2015
312640;;31/12/2015
312650;;31/12/2015
312675;[N] Não;31/12/2015
312710;;31/12/2015
312735;[S] Sim;31/12/2015
312738;[N] Não;31/12/2015
312740;;31/12/2015
312750;;31/12/2015
312760;;31/12/2015
312770;[N] Não;31/12/2015
312780;;31/12/2015
312800;[S] Sim;31/12/2015
312820;;31/12/2015
312830;;31/12/2015
312840;[N] Não;31/12/2015
312860;[N] Não;31/12/2015
312870;[S] Sim;31/12/2015
312880;[N] Não;31/12/2015
312890;[N] Não;31/12/2015
312910;[N] Não;31/12/2015
312920;;31/12/2015
312930;;31/12/2015
312940;[N] Não;31/12/2015
312960;;31/12/2015
312965;;31/12/2015
312970;[N] Não;31/12/2015
312990;;31/12/2015
313010;[N] Não;31/12/2015
313020;[N] Não;31/12/2015
313030;[N] Não;31/12/2015
313040;[N] Não;31/12/2015
313050;;31/12/2015
313065;;31/12/2015
313110;;31/12/2015
313115;[N] Não;31/12/2015
313150;[N] Não;31/12/2015
313190;[S] Sim;31/12/2015
313200;;31/12/2015
313210;;31/12/2015
313220;[N] Não;31/12/2015
313240;[S] Sim;31/12/2015
313260;[N] Não;31/12/2015
313280;[N] Não;31/12/2015
313290;[N] Não;31/12/2015
313300;[S] Sim;31/12/2015
313310;;31/12/2015
313330;[N] Não;31/12/2015
313350;;31/12/2015
313360;[N] Não;31/12/2015
313370;[N] Não;31/12/2015
313375;[N] Não;31/12/2015
313400;;31/12/2015
313420;[N] Não;31/12/2015
313430;;31/12/2015
313450;[N] Não;31/12/2015
313460;;31/12/2015
313480;[N] Não;31/12/2015
313500;[N] Não;31/12/2015
313505;;31/12/2015
313510;[N] Não;31/12/2015
313520;;31/12/2015
313530;[N] Não;31/12/2015
313535;;31/12/2015
313540;;31/12/2015
313570;[S] Sim;31/12/2015
313580;;31/12/2015
313590;;31/12/2015
313620;;31/12/2015
313650;[N] Não;31/12/2015
313652;[N] Não;31/12/2015
313660;;31/12/2015
313670;[S] Sim;31/12/2015
313680;[N] Não;31/12/2015
313690;;31/12/2015
313700;[N] Não;31/12/2015
313720;[N] Não;31/12/2015
313740;;31/12/2015
313750;;31/12/2015
313753;;31/12/2015
313770;[N] Não;31/12/2015
313780;[S] Sim;31/12/2015
313820;[N] Não;31/12/2015
313840;[S] Sim;31/12/2015
313850;;31/12/2015
313862;[S] Sim;31/12/2015
313870;[N] Não;31/12/2015
313880;[N] Não;31/12/2015
313890;;31/12/2015
313900;[N] Não;31/12/2015
313930;[N] Não;31/12/2015
313960;;31/12/2015
313970;[N] Não;31/12/2015
313980;[S] Sim;31/12/2015
313990;;31/12/2015
314000;[S] Sim;31/12/2015
314015;;31/12/2015
314020;[N] Não;31/12/2015
314030;[S] Sim;31/12/2015
314040;[N] Não;31/12/2015
314055;;31/12/2015
314060;;31/12/2015
314080;[N] Não;31/12/2015
314110;;31/12/2015
314130;;31/12/2015
314170;[N] Não;31/12/2015
314190;[N] Não;31/12/2015
314220;[N] Não;31/12/2015
314230;;31/12/2015
314270;;31/12/2015
314280;[N] Não;31/12/2015
314310;;31/12/2015
314315;[N] Não;31/12/2015
314330;[N] Não;31/12/2015
314350;[N] Não;31/12/2015
314360;;31/12/2015
314380;[N] Não;31/12/2015
314390;[S] Sim;31/12/2015
314400;[N] Não;31/12/2015
314410;;31/12/2015
314435;;31/12/2015
314440;;31/12/2015
314450;;31/12/2015
314460;[S] Sim;31/12/2015
314465;;31/12/2015
314467;;31/12/2015
314480;;31/12/2015
314490;[N] Não;31/12/2015
314500;;31/12/2015
314535;;31/12/2015
314545;[N] Não;31/12/2015
314550;[N] Não;31/12/2015
314560;[S] Sim;31/12/2015
314580;[N] Não;31/12/2015
314590;[N] Não;31/12/2015
314600;[S] Sim;31/12/2015
314610;[S] Sim;31/12/2015
314650;[N] Não;31/12/2015
314655;[N] Não;31/12/2015
314690;[N] Não;31/12/2015
314700;;31/12/2015
314710;[S] Sim;31/12/2015
314730;;31/12/2015
314740;;31/12/2015
314760;[N] Não;31/12/2015
314770;[N] Não;31/12/2015
314790;;31/12/2015
314800;[N] Não;31/12/2015
314810;;31/12/2015
314840;;31/12/2015
314860;[N] Não;31/12/2015
314910;;31/12/2015
314930;;31/12/2015
314960;;31/12/2015
314970;;31/12/2015
314995;;31/12/2015
315010;;31/12/2015
315030;[N] Não;31/12/2015
315040;;31/12/2015
315050;[S] Sim;31/12/2015
315060;;31/12/2015
315070;[N] Não;31/12/2015
315080;[S] Sim;31/12/2015
315090;;31/12/2015
315110;;31/12/2015
315120;;31/12/2015
315130;[N] Não;31/12/2015
315140;[N] Não;31/12/2015
315160;;31/12/2015
315170;;31/12/2015
315200;;31/12/2015
315210;[S] Sim;31/12/2015
315213;;31/12/2015
315220;[N] Não;31/12/2015
315240;[N] Não;31/12/2015
315270;;31/12/2015
315280;;31/12/2015
315290;[N] Não;31/12/2015
315300;;31/12/2015
315310;;31/12/2015
315320;[S] Sim;31/12/2015
315330;;31/12/2015
315360;[N] Não;31/12/2015
315370;;31/12/2015
315400;[N] Não;31/12/2015
315420;;31/12/2015
315430;;31/12/2015
315480;[N] Não;31/12/2015
315490;[N] Não;31/12/2015
315500;[N] Não;31/12/2015
315520;;31/12/2015
315530;[N] Não;31/12/2015
315560;;31/12/2015
315570;;31/12/2015
315580;[S] Sim;31/12/2015
315610;;31/12/2015
315645;;31/12/2015
315650;;31/12/2015
315660;;31/12/2015
315670;[N] Não;31/12/2015
315680;[N] Não;31/12/2015
315690;;31/12/2015
315700;[N] Não;31/12/2015
315720;;31/12/2015
315733;;31/12/2015
315750;[S] Sim;31/12/2015
315760;;31/12/2015
315770;[N] Não;31/12/2015
315800;[N] Não;31/12/2015
315810;;31/12/2015
315890;;31/12/2015
315895;[S] Sim;31/12/2015
315900;;31/12/2015
315930;[N] Não;31/12/2015
315950;;31/12/2015
315960;[N] Não;31/12/2015
315980;[N] Não;31/12/2015
316040;[N] Não;31/12/2015
316050;;31/12/2015
316090;[N] Não;31/12/2015
316100;[S] Sim;31/12/2015
316110;[N] Não;31/12/2015
316120;[N] Não;31/12/2015
316140;;31/12/2015
316150;;31/12/2015
316160;;31/12/2015
316170;;31/12/2015
316180;;31/12/2015
316190;[N] Não;31/12/2015
316200;;31/12/2015
316210;[N] Não;31/12/2015
316220;[S] Sim;31/12/2015
316225;;31/12/2015
316230;;31/12/2015
316260;;31/12/2015
316265;;31/12/2015
316292;;31/12/2015
316294;;31/12/2015
316295;[N] Não;31/12/2015
316320;[N] Não;31/12/2015
316330;[N] Não;31/12/2015
316340;;31/12/2015
316350;[N] Não;31/12/2015
316360;[N] Não;31/12/2015
